id,primary_property_type
105315,Multifamily Housing
251561,K-12 School
160322,Multifamily Housing
126141,
252084,
229057,Multifamily Housing
251652,K-12 School
256542,
101716,Office
232398,Multifamily Housing
252072,Office
256555,Office
105785,
175479,
227642,
253955,Multifamily Housing
120518,Residential Care Facility
231775,Multifamily Housing
104285,Multifamily Housing
251687,K-12 School
251690,K-12 School
254296,
160304,Multifamily Housing
100623,
175493,
173835,
142759,Multifamily Housing
173776,
101559,Office
252034,Senior Living Community
243071,Multifamily Housing
128870,
147685,Multifamily Housing
102725,Senior Living Community
159091,Multifamily Housing
240215,Multifamily Housing
256568,
160243,Multifamily Housing
255013,Multifamily Housing
244593,Multifamily Housing
116413,Multifamily Housing
256762,
174203,Multifamily Housing
159573,Multifamily Housing
103052,
251783,Other
157346,Multifamily Housing
251568,K-12 School
252250,Multifamily Housing
172611,Other
140247,Retail Store
113540,Multifamily Housing
242935,Multifamily Housing
255009,Multifamily Housing
117167,Multifamily Housing
243547,Multifamily Housing
252240,Medical Office
159529,Retail Store
113617,Multifamily Housing
175157,Multifamily Housing
255965,Multifamily Housing
256534,
106159,Multifamily Housing
105697,Multifamily Housing
137104,
251595,K-12 School
175949,Retail Store
251508,
101745,Office
160438,Office
159111,
255933,
251258,Multifamily Housing
172379,Office
131236,Data Center
159156,Multifamily Housing
105725,
251517,K-12 School
254047,Multifamily Housing
172685,Supermarket/Grocery Store
251241,Multifamily Housing
101894,
173632,Residence Hall/Dormitory
251576,K-12 School
104340,Multifamily Housing
251228,Office
241377,Multifamily Housing
251657,K-12 School
159735,Multifamily Housing
173757,Multifamily Housing
250088,Multifamily Housing
102380,Multifamily Housing
251418,K-12 School
256803,
254009,Multifamily Housing
175181,Multifamily Housing
173883,
103739,Office
256639,Multifamily Housing
130634,Office
102093,
234566,Multifamily Housing
251704,K-12 School
112110,
251476,K-12 School
173805,Multifamily Housing
251665,K-12 School
227382,Multifamily Housing
175884,
251301,Multifamily Housing
175398,
251553,K-12 School
129963,
128724,Multifamily Housing
118998,
251535,K-12 School
250113,Multifamily Housing
104789,Multifamily Housing
157348,Multifamily Housing
100002,K-12 School
250043,K-12 School
250015,Other - Recreation
100470,Multifamily Housing
231205,Multifamily Housing
135007,
175679,Office
251943,
243108,Multifamily Housing
175580,Multifamily Housing
174228,Supermarket/Grocery Store
256775,
250155,Office
254181,Residence Hall/Dormitory
251634,K-12 School
101899,Multifamily Housing
251337,College/University
103689,
252073,Office
256429,Residence Hall/Dormitory
101226,Multifamily Housing
251628,K-12 School
254564,
159655,Multifamily Housing
250070,Multifamily Housing
254015,Residential Care Facility
105820,
142211,Multifamily Housing
103705,Office
242635,Multifamily Housing
251760,K-12 School
238049,Multifamily Housing
174126,Supermarket/Grocery Store
113754,Multifamily Housing
105792,Multifamily Housing
251409,K-12 School
254094,
256856,
175785,Other - Mall
175185,Multifamily Housing
251876,
175346,Multifamily Housing
251406,K-12 School
160349,Multifamily Housing
156543,Multifamily Housing
238910,Multifamily Housing
250080,Multifamily Housing
251281,Multifamily Housing
105360,Multifamily Housing
101545,Multifamily Housing
130882,Mixed Use Property
175760,Multifamily Housing
244503,Multifamily Housing
103614,Hospital (General Medical & Surgical)
252318,Multifamily Housing
175475,Office
161872,K-12 School
160326,Other
145926,Multifamily Housing
251584,K-12 School
175914,Hotel
251581,K-12 School
251240,Multifamily Housing
160279,Multifamily Housing
174289,Office
101975,College/University
243913,Multifamily Housing
173618,Office
250105,Multifamily Housing
250022,Other - Recreation
255955,Multifamily Housing
243278,Multifamily Housing
255757,
172703,K-12 School
159424,Multifamily Housing
254371,Multifamily Housing
251755,K-12 School
255504,
116750,Multifamily Housing
158743,Multifamily Housing
251906,K-12 School
254995,Multifamily Housing
256779,
256567,
256817,
251762,K-12 School
134914,
256437,College/University
101971,College/University
135050,Social/Meeting Hall
254068,Multifamily Housing
256840,Mixed Use Property
102926,
254152,
255028,Multifamily Housing
103449,
173642,Office
251367,K-12 School
131906,Senior Living Community
173970,Supermarket/Grocery Store
254362,Automobile Dealership
112515,Multifamily Housing
256801,
101794,Office
172253,Residential Care Facility
117188,Multifamily Housing
251364,
255919,Office
102587,K-12 School
251758,
250112,Multifamily Housing
256655,Multifamily Housing
104838,Multifamily Housing
251250,Multifamily Housing
250027,
174247,
255922,Multifamily Housing
136487,Medical Office
161901,K-12 School
127079,
133957,Multifamily Housing
115784,Multifamily Housing
256834,
256690,
256559,Multifamily Housing
255743,Multifamily Housing
260088,Senior Living Community
251925,College/University
251216,Multifamily Housing
175954,Wholesale Club/Supercenter
243345,Multifamily Housing
103767,Hotel
175905,Hotel
251767,Multifamily Housing
137063,Multifamily Housing
173884,
251556,K-12 School
251617,K-12 School
103594,Office
251896,K-12 School
254372,Mixed Use Property
160436,Multifamily Housing
256847,Office
101356,
175943,Office
255004,College/University
101793,Multifamily Housing
250115,Office
251436,
101872,Office
256441,
119422,Mixed Use Property
254999,Multifamily Housing
114874,
102337,Multifamily Housing
157964,Library
251644,K-12 School
252303,
105819,Multifamily Housing
254079,
172115,Multifamily Housing
113690,Multifamily Housing
134735,Laboratory
103602,Office
101980,College/University
251626,K-12 School
173710,Multifamily Housing
175579,
158640,Multifamily Housing
226985,Multifamily Housing
158646,Multifamily Housing
159302,Multifamily Housing
236366,Multifamily Housing
175959,Multifamily Housing
175447,
106125,Multifamily Housing
128905,Residential Care Facility
102987,Multifamily Housing
134533,Office
103696,Office
175975,Office
113670,Multifamily Housing
137292,Residential Care Facility
116786,Multifamily Housing
159936,Multifamily Housing
234374,Multifamily Housing
159510,Multifamily Housing
250144,Office
106223,Multifamily Housing
172529,Multifamily Housing
254376,
103641,Office
250068,Adult Education
251886,
251388,K-12 School
102745,Multifamily Housing
160029,Senior Living Community
172132,
157997,Multifamily Housing
105012,
260078,
254977,Supermarket/Grocery Store
105600,Multifamily Housing
251377,K-12 School
100019,Office
241168,Multifamily Housing
255927,Multifamily Housing
252028,Office
173908,Multifamily Housing
251502,K-12 School
244017,Multifamily Housing
251619,K-12 School
254093,Multifamily Housing
119071,Retail Store
251437,K-12 School
253972,Multifamily Housing
251887,K-12 School
134421,Other - Mall
256630,Multifamily Housing
113593,Multifamily Housing
251384,K-12 School
253954,Multifamily Housing
158630,Multifamily Housing
117248,Multifamily Housing
165062,Museum
251745,K-12 School
177806,Multifamily Housing
104239,Multifamily Housing
130218,
251794,Other
256536,Multifamily Housing
251230,Multifamily Housing
159283,Office
256802,Multifamily Housing
101919,
251322,College/University
253967,Multifamily Housing
256557,Mixed Use Property
102914,Multifamily Housing
135080,Multifamily Housing
160399,
175699,
254169,Residence Hall/Dormitory
256660,Multifamily Housing
103692,Office
137642,
125204,Multifamily Housing
175450,Office
256667,Multifamily Housing
254260,Senior Care Community
112954,Multifamily Housing
251236,Multifamily Housing
252297,Multifamily Housing
101657,Multifamily Housing
100674,Multifamily Housing
252040,College/University
117174,Multifamily Housing
242238,Multifamily Housing
101720,Financial Office
256659,
175777,Multifamily Housing
110254,Multifamily Housing
129920,Office
103778,
256811,
256570,Multifamily Housing
173488,Office
254171,College/University
119987,Supermarket/Grocery Store
175601,
175329,Multifamily Housing
132551,Other - Services
256263,Office
251768,Office
100256,K-12 School
256771,
159646,
252082,K-12 School
111431,Multifamily Housing
120299,Supermarket/Grocery Store
260034,Multifamily Housing
173871,Multifamily Housing
102409,K-12 School
251604,K-12 School
181840,Office
255928,Hotel
255149,
252219,Multifamily Housing
103759,Office
164090,Other - Lodging/Residential
172256,Multifamily Housing
147673,
250047,K-12 School
244758,Multifamily Housing
105484,Multifamily Housing
115942,Multifamily Housing
175383,Multifamily Housing
173322,
101671,
103655,Multifamily Housing
251695,K-12 School
175754,Multifamily Housing
251773,Supermarket/Grocery Store
121774,Retail Store
251724,K-12 School
158651,Multifamily Housing
256813,
238097,Multifamily Housing
251550,K-12 School
250073,
101787,Office
172380,Multifamily Housing
251274,Multifamily Housing
156840,Multifamily Housing
254099,K-12 School
102055,
250102,Multifamily Housing
100668,
161145,College/University
251884,K-12 School
106067,
256420,College/University
159565,Multifamily Housing
251694,K-12 School
250016,Other - Recreation
251256,Multifamily Housing
101562,College/University
172252,Residential Care Facility
172500,K-12 School
119215,Other
254369,
250058,Other - Entertainment/Public Assembly
251394,K-12 School
256764,
251746,K-12 School
158740,Multifamily Housing
103271,Multifamily Housing
159637,Multifamily Housing
172276,Multifamily Housing
174323,
240299,Multifamily Housing
162296,
102032,Multifamily Housing
252039,Laboratory
106112,Multifamily Housing
173592,Multifamily Housing
120083,Retail Store
236480,Multifamily Housing
254024,Multifamily Housing
256541,
256607,
254154,Multifamily Housing
251478,K-12 School
172761,Multifamily Housing
159567,Multifamily Housing
254535,Multifamily Housing
255190,Multifamily Housing
106017,Multifamily Housing
101784,College/University
254162,Residence Hall/Dormitory
100447,Office
159533,Multifamily Housing
251285,Mixed Use Property
113602,Multifamily Housing
242901,Multifamily Housing
173811,Multifamily Housing
101086,
251509,K-12 School
175808,Multifamily Housing
256810,
251564,K-12 School
160099,Hotel
251212,Office
160429,Multifamily Housing
112760,Multifamily Housing
102825,
251684,K-12 School
172613,Multifamily Housing
172471,
129245,
173715,Multifamily Housing
101848,Office
113591,Multifamily Housing
120010,Worship Facility
134727,Senior Care Community
252090,
252270,Multifamily Housing
253986,Office
134783,College/University
103639,Office
252068,Hotel
251249,Multifamily Housing
117509,Strip Mall
254512,Multifamily Housing
175262,
256669,Multifamily Housing
102452,Library
101744,Office
100395,College/University
172789,
160297,Mixed Use Property
244747,Multifamily Housing
252025,K-12 School
251764,Multifamily Housing
256677,Multifamily Housing
175507,Multifamily Housing
251267,Multifamily Housing
172103,Multifamily Housing
172056,
250108,Multifamily Housing
175220,
175953,Hotel
255947,Multifamily Housing
164512,Office
125148,Supermarket/Grocery Store
160448,
173861,Multifamily Housing
119758,Supermarket/Grocery Store
156350,Hotel
103608,Other
158184,Office
238365,Multifamily Housing
116810,Multifamily Housing
251243,Multifamily Housing
250081,Multifamily Housing
175106,
254378,Senior Living Community
101748,Office
160300,Multifamily Housing
235739,Multifamily Housing
256673,Multifamily Housing
250065,Library
125763,
251255,Multifamily Housing
256836,Office
158099,Movie Theater
101738,Office
238799,Multifamily Housing
109191,
251580,K-12 School
214929,Multifamily Housing
254053,Multifamily Housing
244809,Multifamily Housing
243920,Multifamily Housing
251340,Hotel
251464,K-12 School
102556,Multifamily Housing
172495,
161305,K-12 School
251726,K-12 School
158134,
113598,Multifamily Housing
251661,K-12 School
104834,Multifamily Housing
112530,Multifamily Housing
214742,Multifamily Housing
101881,Office
251238,Multifamily Housing
173630,
251231,Multifamily Housing
251521,K-12 School
254353,
132870,Supermarket/Grocery Store
233452,Multifamily Housing
101940,Enclosed Mall
175727,Office
256423,College/University
252037,Fitness Center/Health Club/Gym
250089,Multifamily Housing
172069,Senior Living Community
158596,
156500,Office
175995,Office
250142,Office
251992,Office
254567,Multifamily Housing
118332,Retail Store
174002,
242148,Multifamily Housing
138872,Other - Recreation
251299,Multifamily Housing
101283,Other - Specialty Hospital
116662,
127031,Strip Mall
252020,Multifamily Housing
158433,Multifamily Housing
251455,K-12 School
252092,Retail Store
166547,K-12 School
256778,
160296,Multifamily Housing
254988,
172130,Multifamily Housing
105653,Multifamily Housing
116428,Multifamily Housing
252066,Multifamily Housing
132594,Multifamily Housing
160379,Multifamily Housing
255967,Enclosed Mall
157986,
158668,Multifamily Housing
109276,
251715,K-12 School
254374,Multifamily Housing
251653,
160368,Multifamily Housing
243692,Multifamily Housing
173712,
173925,Laboratory
251278,Multifamily Housing
251914,
101969,Office
160082,Hotel
172627,
251709,K-12 School
173783,
252323,
251425,K-12 School
252057,College/University
254348,Multifamily Housing
172679,Retail Store
252295,Multifamily Housing
252316,
250161,Other
254346,
142943,Multifamily Housing
125013,
158407,
251448,K-12 School
251227,Office
254080,Hotel
250071,Multifamily Housing
255948,Multifamily Housing
251333,College/University
101998,Office
251666,K-12 School
256760,
251527,
256646,
103711,Office
137704,Office
175837,Multifamily Housing
251385,K-12 School
160414,Hotel
111545,
160067,Hotel
105530,
251623,K-12 School
242510,Multifamily Housing
254349,Multifamily Housing
251289,Multifamily Housing
256795,
242313,Multifamily Housing
173657,Hotel
102946,Multifamily Housing
106027,Multifamily Housing
250052,K-12 School
239016,Multifamily Housing
252079,
256766,
138514,College/University
252059,Other - Entertainment/Public Assembly
104100,Multifamily Housing
250107,Multifamily Housing
159315,Multifamily Housing
251664,
239042,Multifamily Housing
160197,Performing Arts
160285,Multifamily Housing
256077,Multifamily Housing
244099,Mixed Use Property
251279,
100947,Multifamily Housing
111466,Multifamily Housing
251710,K-12 School
172055,K-12 School
252322,Multifamily Housing
105673,
227730,Multifamily Housing
101729,Financial Office
101519,Senior Living Community
173948,Retail Store
160237,Office
102568,Multifamily Housing
101813,Office
251346,Office
241042,Multifamily Housing
160266,Multifamily Housing
160305,Multifamily Housing
252038,Library
105991,Hotel
175590,
159099,Hotel
101567,Office
134779,College/University
134790,Office
251753,K-12 School
254227,Mixed Use Property
138874,Fitness Center/Health Club/Gym
172641,Senior Living Community
159560,Multifamily Housing
222598,Multifamily Housing
173497,Supermarket/Grocery Store
256671,Multifamily Housing
254010,Multifamily Housing
175711,Multifamily Housing
251532,K-12 School
104431,
158842,Mixed Use Property
107939,Multifamily Housing
252036,Residence Hall/Dormitory
102590,
174204,Multifamily Housing
251403,K-12 School
113706,Multifamily Housing
158365,
256124,Office
150324,Multifamily Housing
238973,Multifamily Housing
175927,Multifamily Housing
173875,Multifamily Housing
116715,Multifamily Housing
172066,Other
100393,Enclosed Mall
160345,Multifamily Housing
106122,Multifamily Housing
175595,Multifamily Housing
251393,K-12 School
250014,Other - Recreation
251633,K-12 School
255932,
172154,Worship Facility
251248,Multifamily Housing
101920,Office
172771,Multifamily Housing
100396,K-12 School
173725,Multifamily Housing
116550,Multifamily Housing
164922,Hospital (General Medical & Surgical)
251731,K-12 School
250008,College/University
105391,Multifamily Housing
121059,Mixed Use Property
252274,Multifamily Housing
255148,Multifamily Housing
176015,Multifamily Housing
175340,Multifamily Housing
175539,Multifamily Housing
160184,Office
250147,Office
118140,Wholesale Club/Supercenter
101935,Office
131291,Office
111893,Office
101199,K-12 School
254568,Multifamily Housing
239739,Multifamily Housing
252247,Multifamily Housing
251732,K-12 School
101471,Multifamily Housing
252070,Multifamily Housing
250054,
147855,Multifamily Housing
112765,Senior Living Community
244826,Multifamily Housing
250176,Office
160211,Office
119128,Office
255016,Senior Living Community
119387,Office
147895,Multifamily Housing
256645,
256640,Multifamily Housing
158426,Hotel
244760,Multifamily Housing
251744,K-12 School
251522,K-12 School
133879,Retail Store
251489,K-12 School
134280,Multifamily Housing
132489,Multifamily Housing
172787,
159739,Multifamily Housing
175265,
255150,
172443,
232666,Multifamily Housing
174306,Multifamily Housing
255956,Multifamily Housing
105150,
251582,K-12 School
171924,Supermarket/Grocery Store
160394,Multifamily Housing
175987,
252013,Office
162804,
175506,Office
260135,Multifamily Housing
101958,Office
117814,K-12 School
251223,Office
251572,K-12 School
251910,K-12 School
175979,Senior Living Community
160354,Multifamily Housing
160026,Multifamily Housing
173594,
254975,Multifamily Housing
250062,Adult Education
256408,Laboratory
251654,K-12 School
255954,
101891,Office
175421,Multifamily Housing
256787,
250099,Multifamily Housing
172137,Multifamily Housing
251552,
105061,
175542,Multifamily Housing
103647,Office
175734,
100878,
244840,Multifamily Housing
238850,Multifamily Housing
256455,
135660,
175492,Multifamily Housing
251751,K-12 School
116122,
136212,College/University
256777,
253969,Multifamily Housing
100856,
159425,Multifamily Housing
255939,
121102,Medical Office
251245,Multifamily Housing
141170,Multifamily Housing
160321,Multifamily Housing
121093,Supermarket/Grocery Store
251696,K-12 School
134792,Office
100179,Hospital (General Medical & Surgical)
157971,Multifamily Housing
244931,Multifamily Housing
156845,Hotel
256773,
114200,Multifamily Housing
113487,Multifamily Housing
255953,Multifamily Housing
172145,K-12 School
112607,Multifamily Housing
173494,Multifamily Housing
241989,Multifamily Housing
120624,Other
252279,Multifamily Housing
254389,Residence Hall/Dormitory
242950,Multifamily Housing
104385,
160445,Multifamily Housing
256264,
106103,Multifamily Housing
255946,
173751,Urgent Care/Clinic/Other Outpatient
254409,Multifamily Housing
120343,Multifamily Housing
251608,K-12 School
116462,Senior Living Community
102532,Hospital (General Medical & Surgical)
173658,Office
114316,
250133,Supermarket/Grocery Store
106025,
132408,
251428,
159893,
175276,
256844,
254170,Residence Hall/Dormitory
175113,
229016,Multifamily Housing
100946,Multifamily Housing
117311,Other - Specialty Hospital
158316,Hotel
260025,Senior Living Community
103933,Multifamily Housing
251327,College/University
113548,Multifamily Housing
100211,Multifamily Housing
115956,Senior Care Community
114861,Multifamily Housing
254016,Residential Care Facility
141321,Multifamily Housing
137144,Medical Office
101686,Strip Mall
116171,Multifamily Housing
175281,Multifamily Housing
260118,Multifamily Housing
236345,Multifamily Housing
164283,
251630,
251209,Senior Living Community
251439,K-12 School
251540,
254573,Multifamily Housing
251621,K-12 School
159647,Multifamily Housing
173597,Office
251252,Multifamily Housing
251557,K-12 School
238266,Multifamily Housing
157618,Multifamily Housing
251229,Multifamily Housing
119419,K-12 School
101757,Mixed Use Property
137334,
172396,
250150,Office
251707,K-12 School
251469,K-12 School
114515,Multifamily Housing
251754,K-12 School
255921,Medical Office
251958,Medical Office
104278,Multifamily Housing
105011,Multifamily Housing
113474,Multifamily Housing
160342,Multifamily Housing
244311,Multifamily Housing
160422,Hotel
254381,Residence Hall/Dormitory
251263,Mixed Use Property
158396,Multifamily Housing
101968,Office
255945,Multifamily Housing
120503,Office
101943,Office
105302,
104374,
251520,K-12 School
130162,Hotel
252080,Multifamily Housing
251370,K-12 School
158387,Hotel
228537,Multifamily Housing
101840,College/University
256656,
255092,Multifamily Housing
250059,Office
255005,Multifamily Housing
101912,Office
117599,College/University
173495,Other
256732,K-12 School
175516,Multifamily Housing
250131,Retail Store
138730,Strip Mall
255006,Multifamily Housing
251351,
256857,
251257,Multifamily Housing
251328,College/University
113569,Multifamily Housing
252265,Multifamily Housing
174164,Multifamily Housing
254114,Multifamily Housing
260184,Multifamily Housing
158654,Multifamily Housing
105340,Multifamily Housing
100375,Multifamily Housing
176020,Office
104237,Multifamily Housing
252053,Laboratory
103712,Mixed Use Property
102362,Mixed Use Property
159537,
158394,Office
251878,K-12 School
255977,
101492,College/University
172707,
156871,Multifamily Housing
251918,Multifamily Housing
172565,Multifamily Housing
105478,Multifamily Housing
175120,
160241,
156557,
253988,Office
175894,Multifamily Housing
160264,Multifamily Housing
101572,K-12 School
252319,Multifamily Housing
254163,Office
256489,Multifamily Housing
251445,K-12 School
243626,Multifamily Housing
111687,Multifamily Housing
134911,Office
101791,Office
101709,Office
130553,Medical Office
251319,Supermarket/Grocery Store
140771,Multifamily Housing
251526,K-12 School
216479,Multifamily Housing
109326,
260132,Office
157993,Multifamily Housing
112016,
256709,Office
106030,Multifamily Housing
173819,Strip Mall
252041,Retail Store
250042,K-12 School
130629,
106158,Multifamily Housing
100418,K-12 School
254981,Multifamily Housing
156868,Multifamily Housing
116385,Senior Living Community
251585,K-12 School
156750,Multifamily Housing
101708,Office
254051,Supermarket/Grocery Store
250139,Courthouse
251390,K-12 School
156414,K-12 School
175046,Multifamily Housing
250151,
119685,Hotel
252018,Multifamily Housing
256616,Multifamily Housing
254059,
101852,Hotel
252286,Multifamily Housing
115754,
251239,Multifamily Housing
260042,Multifamily Housing
165425,Senior Living Community
256761,Multifamily Housing
162409,College/University
229823,Multifamily Housing
221751,Multifamily Housing
252050,Laboratory
251693,K-12 School
175735,Multifamily Housing
119564,
172114,
175255,Multifamily Housing
104879,Multifamily Housing
102690,Multifamily Housing
175494,
161628,K-12 School
156693,Medical Office
251432,K-12 School
252067,Senior Living Community
236382,Multifamily Housing
251392,K-12 School
160451,Multifamily Housing
256552,
256785,
254997,Multifamily Housing
172795,
161053,Residence Hall/Dormitory
102854,
256708,
117367,
130684,
242586,Multifamily Housing
113396,Multifamily Housing
256668,Multifamily Housing
127068,Strip Mall
101889,Office
134775,College/University
104710,Multifamily Housing
256428,College/University
251676,K-12 School
130168,Other - Specialty Hospital
252317,Multifamily Housing
256670,Multifamily Housing
109549,Multifamily Housing
253905,Multifamily Housing
254109,
100148,
255002,Supermarket/Grocery Store
254155,Senior Living Community
240956,Multifamily Housing
175896,Multifamily Housing
152408,
251613,
260037,Multifamily Housing
119676,Retail Store
251259,Multifamily Housing
165924,Multifamily Housing
251776,Multifamily Housing
254004,Multifamily Housing
105551,Multifamily Housing
159415,
250086,Multifamily Housing
159575,
245071,Multifamily Housing
254317,Multifamily Housing
100429,Mixed Use Property
175891,Multifamily Housing
109413,
101735,Retail Store
255083,Multifamily Housing
252049,College/University
256807,
251772,Supermarket/Grocery Store
101448,Multifamily Housing
251290,
256731,K-12 School
103278,Multifamily Housing
172343,Retail Store
175198,Multifamily Housing
115376,Multifamily Housing
256411,Laboratory
156696,Multifamily Housing
116144,Multifamily Housing
120218,Wholesale Club/Supercenter
175431,Multifamily Housing
127047,Retail Store
240953,Multifamily Housing
256564,
106042,Multifamily Housing
253952,
159249,Multifamily Housing
256735,K-12 School
251720,K-12 School
250044,K-12 School
173845,Multifamily Housing
105586,Multifamily Housing
114858,Multifamily Housing
252311,Multifamily Housing
256574,K-12 School
163996,Pre-school/Daycare
113587,Multifamily Housing
252252,Multifamily Housing
119799,Retail Store
251761,K-12 School
101826,
112698,Multifamily Housing
159245,Multifamily Housing
175816,Office
243703,Multifamily Housing
175422,
251269,Multifamily Housing
255925,
101396,Multifamily Housing
243636,Multifamily Housing
251312,Retail Store
251493,K-12 School
132118,Senior Living Community
102809,Multifamily Housing
256615,Multifamily Housing
251873,K-12 School
251792,Other
134126,Automobile Dealership
104238,Multifamily Housing
256835,
251880,K-12 School
158392,Office
102160,
254226,Multifamily Housing
256247,Senior Living Community
239078,Multifamily Housing
256421,College/University
172719,Multifamily Housing
250082,Multifamily Housing
106046,
251863,K-12 School
254060,Multifamily Housing
251656,K-12 School
256831,
137657,Multifamily Housing
102029,Multifamily Housing
158431,Retail Store
254034,Multifamily Housing
252105,Multifamily Housing
243773,Multifamily Housing
175371,Multifamily Housing
134136,
251927,Multifamily Housing
172784,
111157,Multifamily Housing
175553,Senior Living Community
243246,Multifamily Housing
109891,Multifamily Housing
160372,Multifamily Housing
175545,Multifamily Housing
102552,Multifamily Housing
222707,Multifamily Housing
160363,Multifamily Housing
102643,Senior Living Community
159298,Office
251402,
173708,Multifamily Housing
256250,Multifamily Housing
140901,Multifamily Housing
112762,Multifamily Housing
160450,Multifamily Housing
160454,Multifamily Housing
251877,K-12 School
165812,Multifamily Housing
177315,Multifamily Housing
110854,Multifamily Housing
256433,College/University
175535,Multifamily Housing
256606,
102238,Multifamily Housing
251713,
241550,Multifamily Housing
147516,Multifamily Housing
255740,Multifamily Housing
106118,Multifamily Housing
104300,Multifamily Housing
251928,Other - Public Services
251381,K-12 School
167562,K-12 School
251326,College/University
101710,Multifamily Housing
252262,
160323,Multifamily Housing
175780,
240019,Multifamily Housing
168367,Data Center
173719,K-12 School
251427,K-12 School
111536,Multifamily Housing
117067,Multifamily Housing
251734,K-12 School
251612,K-12 School
157165,Multifamily Housing
254347,College/University
